"date","candidate","name","sources","isretweeted","length","favorites","retweets","economy","security","covid19","healthcare","education","race","gun","crime","abortion","immigration","climate","foreign","taxes","deficit","china","russia","fakenews","info","trust","anger","anticipation","joy","negative","positive","sadness","surprise","fear","disgust"
2020-10-27 21:42:11,"Biden","poppeetim","iPhone",FALSE,140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0
2020-10-27 21:42:16,"Biden","IiJagiellow","Web",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:42:22,"Biden","MandaineE","Web",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:42:26,"Biden","wirelesshogan","Web",TRUE,139,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-10-27 21:42:32,"Biden","ChrissieRuns","Web",FALSE,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,2,0,0,2,0
2020-10-27 21:42:37,"Biden","seejordan","Web",TRUE,140,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0
2020-10-27 21:42:41,"Biden","stellasplace1","Web",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:42:42,"Biden","U0ogUHHKG8Jvwq8","Web",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:42:50,"Biden","ONA_Miami","iPhone",FALSE,105,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-10-27 21:43:03,"Biden","saba_nc","iPhone",TRUE,140,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
2020-10-27 21:43:05,"Biden","sgtweets7","iPhone",TRUE,140,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
2020-10-27 21:43:06,"Biden","mattseroski","iPhone",FALSE,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,1,1,1,0,0
2020-10-27 21:43:07,"Biden","ownedcorey","Web",FALSE,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
2020-10-27 21:43:08,"Biden","EsquireTargary1","Web",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:43:14,"Biden","MssSiddiqui","Android",TRUE,140,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
2020-10-27 21:43:19,"Biden","JV3MRC","Android",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-10-27 21:43:29,"Biden","kkbrando","Android",TRUE,140,0,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
